dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,resnet50,inputxgradient,vgg16,white,0.08047500000000003,0.814
imagenet,resnet50,integrated_gradients,mobilenet_v2,black,0.24544999999999997,0.762
imagenet,resnet50,integrated_gradients,mobilenet_v2,blur,0.42377499999999996,0.656
imagenet,resnet50,integrated_gradients,mobilenet_v2,gray,0.3370000000000001,0.7140000000000001
imagenet,resnet50,integrated_gradients,mobilenet_v2,mean,0.37099999999999994,0.6950000000000001
imagenet,resnet50,integrated_gradients,mobilenet_v2,random_noise,0.32824999999999993,0.738
imagenet,resnet50,integrated_gradients,mobilenet_v2,white,0.21470000000000003,0.766
imagenet,resnet50,integrated_gradients,vgg16,black,0.09187499999999998,0.816
imagenet,resnet50,integrated_gradients,vgg16,blur,0.39854999999999996,0.704
imagenet,resnet50,integrated_gradients,vgg16,gray,0.242975,0.7899999999999999
imagenet,resnet50,integrated_gradients,vgg16,mean,0.2805,0.7769999999999999
imagenet,resnet50,integrated_gradients,vgg16,random_noise,0.25202499999999994,0.7759999999999999
imagenet,resnet50,integrated_gradients,vgg16,white,0.09312500000000001,0.8119999999999999
imagenet,resnet50,saliency,mobilenet_v2,black,0.20335,0.787
imagenet,resnet50,saliency,mobilenet_v2,blur,0.352875,0.7290000000000001
imagenet,resnet50,saliency,mobilenet_v2,gray,0.25739999999999996,0.772
imagenet,resnet50,saliency,mobilenet_v2,mean,0.2839,0.766
imagenet,resnet50,saliency,mobilenet_v2,random_noise,0.25425000000000003,0.779
imagenet,resnet50,saliency,mobilenet_v2,white,0.16920000000000002,0.789
imagenet,resnet50,saliency,vgg16,black,0.075175,0.816
imagenet,resnet50,saliency,vgg16,blur,0.33885,0.7569999999999999
imagenet,resnet50,saliency,vgg16,gray,0.17957500000000004,0.7989999999999999
imagenet,resnet50,saliency,vgg16,mean,0.21389999999999998,0.7929999999999999
imagenet,resnet50,saliency,vgg16,random_noise,0.180975,0.7919999999999999
imagenet,resnet50,saliency,vgg16,white,0.068175,0.815
imagenet,resnet50,smoothgrad,mobilenet_v2,black,0.39099999999999996,0.6950000000000001
imagenet,resnet50,smoothgrad,mobilenet_v2,blur,0.4977249999999999,0.536
imagenet,resnet50,smoothgrad,mobilenet_v2,gray,0.43835,0.6180000000000001
imagenet,resnet50,smoothgrad,mobilenet_v2,mean,0.4534500000000001,0.5910000000000001
imagenet,resnet50,smoothgrad,mobilenet_v2,random_noise,0.43215000000000003,0.63
imagenet,resnet50,smoothgrad,mobilenet_v2,white,0.3757,0.7010000000000001
imagenet,resnet50,smoothgrad,vgg16,black,0.20812499999999998,0.8009999999999999
imagenet,resnet50,smoothgrad,vgg16,blur,0.47535000000000005,0.602
imagenet,resnet50,smoothgrad,vgg16,gray,0.345375,0.717
imagenet,resnet50,smoothgrad,vgg16,mean,0.38339999999999996,0.699
imagenet,resnet50,smoothgrad,vgg16,random_noise,0.35852500000000004,0.692
imagenet,resnet50,smoothgrad,vgg16,white,0.24027499999999996,0.7829999999999999
imagenet,vgg16,grad_cam,mobilenet_v2,black,0.5692,0.30800000000000005
imagenet,vgg16,grad_cam,mobilenet_v2,blur,0.5097749999999999,0.45500000000000007
imagenet,vgg16,grad_cam,mobilenet_v2,gray,0.5766,0.30200000000000005
imagenet,vgg16,grad_cam,mobilenet_v2,mean,0.5679,0.32000000000000006
imagenet,vgg16,grad_cam,mobilenet_v2,random_noise,0.4409999999999999,0.5850000000000001
imagenet,vgg16,grad_cam,mobilenet_v2,white,0.50215,0.45400000000000007
imagenet,vgg16,grad_cam,resnet50,black,0.699075,0.29500000000000004
imagenet,vgg16,grad_cam,resnet50,blur,0.6578750000000001,0.40900000000000003
imagenet,vgg16,grad_cam,resnet50,gray,0.664325,0.385
imagenet,vgg16,grad_cam,resnet50,mean,0.65475,0.40700000000000003
imagenet,vgg16,grad_cam,resnet50,random_noise,0.575625,0.577
imagenet,vgg16,grad_cam,resnet50,white,0.619475,0.47900000000000004
imagenet,vgg16,gradientshap,mobilenet_v2,black,0.30945,0.7070000000000001
imagenet,vgg16,gradientshap,mobilenet_v2,blur,0.47987500000000005,0.529
imagenet,vgg16,gradientshap,mobilenet_v2,gray,0.3993,0.6260000000000001
imagenet,vgg16,gradientshap,mobilenet_v2,mean,0.42934999999999995,0.5850000000000001
imagenet,vgg16,gradientshap,mobilenet_v2,random_noise,0.38994999999999996,0.627
imagenet,vgg16,gradientshap,mobilenet_v2,white,0.2720000000000001,0.7110000000000001
imagenet,vgg16,gradientshap,resnet50,black,0.378625,0.776
imagenet,vgg16,gradientshap,resnet50,blur,0.6306250000000001,0.47200000000000003
imagenet,vgg16,gradientshap,resnet50,gray,0.544025,0.597
imagenet,vgg16,gradientshap,resnet50,mean,0.57035,0.557
imagenet,vgg16,gradientshap,resnet50,random_noise,0.524825,0.642
imagenet,vgg16,gradientshap,resnet50,white,0.360475,0.785
imagenet,vgg16,inputxgradient,mobilenet_v2,black,0.28175,0.732
imagenet,vgg16,inputxgradient,mobilenet_v2,blur,0.4336750000000001,0.617
imagenet,vgg16,inputxgradient,mobilenet_v2,gray,0.36830000000000007,0.673
imagenet,vgg16,inputxgradient,mobilenet_v2,mean,0.39125,0.647
imagenet,vgg16,inputxgradient,mobilenet_v2,random_noise,0.35465,0.6990000000000001
imagenet,vgg16,inputxgradient,mobilenet_v2,white,0.2492,0.7410000000000001
imagenet,vgg16,inputxgradient,resnet50,black,0.3409250000000001,0.8210000000000001
imagenet,vgg16,inputxgradient,resnet50,blur,0.580275,0.5720000000000001
imagenet,vgg16,inputxgradient,resnet50,gray,0.493225,0.666
imagenet,vgg16,inputxgradient,resnet50,mean,0.5182000000000001,0.637
imagenet,vgg16,inputxgradient,resnet50,random_noise,0.48417499999999997,0.7050000000000001
imagenet,vgg16,inputxgradient,resnet50,white,0.3299250000000001,0.8160000000000001
imagenet,vgg16,integrated_gradients,mobilenet_v2,black,0.31059999999999993,0.6920000000000001
imagenet,vgg16,integrated_gradients,mobilenet_v2,blur,0.47822499999999996,0.538
imagenet,vgg16,integrated_gradients,mobilenet_v2,gray,0.40465,0.6100000000000001
