dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,resnet50,blur,40.0,0.893
imagenet,independent,dino+u2net_sum,resnet50,blur,45.0,0.891
imagenet,independent,dino+u2net_sum,resnet50,blur,50.0,0.883
imagenet,independent,dino+u2net_sum,resnet50,blur,55.0,0.865
imagenet,independent,dino+u2net_sum,resnet50,blur,60.0,0.844
imagenet,independent,dino+u2net_sum,resnet50,blur,65.0,0.817
imagenet,independent,dino+u2net_sum,resnet50,blur,70.0,0.799
imagenet,independent,dino+u2net_sum,resnet50,blur,75.0,0.759
imagenet,independent,dino+u2net_sum,resnet50,blur,80.0,0.701
imagenet,independent,dino+u2net_sum,resnet50,blur,85.0,0.6
imagenet,independent,dino+u2net_sum,resnet50,blur,90.0,0.444
imagenet,independent,dino+u2net_sum,resnet50,blur,95.0,0.26
imagenet,independent,dino+u2net_sum,resnet50,blur,100.0,0.163
imagenet,independent,dino+u2net_sum,resnet50,gray,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,gray,5.0,0.918
imagenet,independent,dino+u2net_sum,resnet50,gray,10.0,0.911
imagenet,independent,dino+u2net_sum,resnet50,gray,15.0,0.908
imagenet,independent,dino+u2net_sum,resnet50,gray,20.0,0.902
imagenet,independent,dino+u2net_sum,resnet50,gray,25.0,0.901
imagenet,independent,dino+u2net_sum,resnet50,gray,30.0,0.895
imagenet,independent,dino+u2net_sum,resnet50,gray,35.0,0.879
imagenet,independent,dino+u2net_sum,resnet50,gray,40.0,0.88
imagenet,independent,dino+u2net_sum,resnet50,gray,45.0,0.866
imagenet,independent,dino+u2net_sum,resnet50,gray,50.0,0.848
imagenet,independent,dino+u2net_sum,resnet50,gray,55.0,0.835
imagenet,independent,dino+u2net_sum,resnet50,gray,60.0,0.817
imagenet,independent,dino+u2net_sum,resnet50,gray,65.0,0.798
imagenet,independent,dino+u2net_sum,resnet50,gray,70.0,0.766
imagenet,independent,dino+u2net_sum,resnet50,gray,75.0,0.722
imagenet,independent,dino+u2net_sum,resnet50,gray,80.0,0.666
imagenet,independent,dino+u2net_sum,resnet50,gray,85.0,0.565
imagenet,independent,dino+u2net_sum,resnet50,gray,90.0,0.429
imagenet,independent,dino+u2net_sum,resnet50,gray,95.0,0.192
imagenet,independent,dino+u2net_sum,resnet50,gray,100.0,0.001
imagenet,independent,dino+u2net_sum,resnet50,mean,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,mean,5.0,0.924
imagenet,independent,dino+u2net_sum,resnet50,mean,10.0,0.916
imagenet,independent,dino+u2net_sum,resnet50,mean,15.0,0.914
imagenet,independent,dino+u2net_sum,resnet50,mean,20.0,0.906
imagenet,independent,dino+u2net_sum,resnet50,mean,25.0,0.904
imagenet,independent,dino+u2net_sum,resnet50,mean,30.0,0.897
imagenet,independent,dino+u2net_sum,resnet50,mean,35.0,0.894
imagenet,independent,dino+u2net_sum,resnet50,mean,40.0,0.89
imagenet,independent,dino+u2net_sum,resnet50,mean,45.0,0.883
imagenet,independent,dino+u2net_sum,resnet50,mean,50.0,0.871
imagenet,independent,dino+u2net_sum,resnet50,mean,55.0,0.859
imagenet,independent,dino+u2net_sum,resnet50,mean,60.0,0.838
imagenet,independent,dino+u2net_sum,resnet50,mean,65.0,0.818
imagenet,independent,dino+u2net_sum,resnet50,mean,70.0,0.776
imagenet,independent,dino+u2net_sum,resnet50,mean,75.0,0.74
imagenet,independent,dino+u2net_sum,resnet50,mean,80.0,0.689
imagenet,independent,dino+u2net_sum,resnet50,mean,85.0,0.58
imagenet,independent,dino+u2net_sum,resnet50,mean,90.0,0.415
imagenet,independent,dino+u2net_sum,resnet50,mean,95.0,0.197
imagenet,independent,dino+u2net_sum,resnet50,mean,100.0,0.006
imagenet,independent,dino+u2net_sum,resnet50,random_noise,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,random_noise,5.0,0.92
