image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00077,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00078,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00078,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00079,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00079,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00080,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00080,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00081,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00081,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00082,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00082,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00083,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00083,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00084,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00084,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00085,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00085,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00086,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00086,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00087,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00087,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00088,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00088,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00089,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00089,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00090,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00090,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00091,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00091,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00092,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00092,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00093,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00093,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00094,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00094,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00095,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00095,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00096,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00096,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00097,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00097,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00098,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00098,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00099,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00099,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00100,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00100,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00101,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00101,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00102,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00102,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00103,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00103,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00104,grad_cam,resnet50,0.275,1.0,5.0,10.0
image_00104,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00105,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00105,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00106,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00106,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00107,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00107,grad_cam,mobilenet_v2,0.125,-1.0,0.0,75.0
image_00108,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00108,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00109,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00109,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00110,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00110,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00111,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00111,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00112,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00112,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00113,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00113,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00114,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00114,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00115,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00115,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00116,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00116,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00117,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00117,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00118,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00118,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00119,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00119,grad_cam,mobilenet_v2,0.325,1.0,5.0,10.0
image_00120,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00120,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00121,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00121,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00122,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00122,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00123,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00123,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00124,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00124,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00125,grad_cam,resnet50,0.55,0.0,10.0,25.0
image_00125,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00126,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00126,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00127,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00127,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00128,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00128,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00129,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00129,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00130,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00130,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00131,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00131,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00132,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00132,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00133,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00133,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00134,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00134,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00135,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00135,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
