image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00251,grad_cam,mobilenet_v2,1.0,20783.474609375,1.4142258167266846,10.57943344116211,0.15471540178571427
image_00252,grad_cam,resnet50,1.0,23888.982421875,1.1003824472427368,10.702815055847168,0.0450813137755102
image_00252,grad_cam,mobilenet_v2,1.0,23888.982421875,1.1003824472427368,10.702815055847168,0.0450813137755102
image_00253,grad_cam,resnet50,1.0,16627.28515625,2.017690420150757,10.482698440551758,0.25362723214285715
image_00253,grad_cam,mobilenet_v2,1.0,16627.28515625,2.017690420150757,10.482698440551758,0.25362723214285715
image_00254,grad_cam,resnet50,1.0,18042.583984375,1.780976414680481,10.457559585571289,0.24974091198979592
image_00254,grad_cam,mobilenet_v2,1.0,18042.583984375,1.780976414680481,10.457559585571289,0.24974091198979592
image_00255,grad_cam,resnet50,1.0,22325.529296875,1.2474719285964966,10.537668228149414,0.2314453125
image_00255,grad_cam,mobilenet_v2,1.0,22325.529296875,1.2474719285964966,10.537668228149414,0.2314453125
image_00256,grad_cam,resnet50,1.0,23463.599609375,1.1384613513946533,10.669439315795898,0.07485650510204081
image_00256,grad_cam,mobilenet_v2,1.0,23463.599609375,1.1384613513946533,10.669439315795898,0.07485650510204081
image_00257,grad_cam,resnet50,1.0,15501.5537109375,2.2368366718292236,10.467644691467285,0.31967474489795916
image_00257,grad_cam,mobilenet_v2,0.0,15501.5537109375,2.2368366718292236,10.467644691467285,0.31967474489795916
image_00258,grad_cam,resnet50,1.0,17361.478515625,1.8900765180587769,10.458125114440918,0.26169882015306123
image_00258,grad_cam,mobilenet_v2,1.0,17361.478515625,1.8900765180587769,10.458125114440918,0.26169882015306123
image_00259,grad_cam,resnet50,1.0,16023.880859375,2.131326198577881,10.580449104309082,0.11401865433673469
image_00259,grad_cam,mobilenet_v2,1.0,16023.880859375,2.131326198577881,10.580449104309082,0.11401865433673469
image_00260,grad_cam,resnet50,1.0,19460.376953125,1.5783673524856567,10.581523895263672,0.13996731505102042
image_00260,grad_cam,mobilenet_v2,1.0,19460.376953125,1.5783673524856567,10.581523895263672,0.13996731505102042
image_00261,grad_cam,resnet50,1.0,21257.29296875,1.3604134321212769,10.633248329162598,0.11437739158163265
image_00261,grad_cam,mobilenet_v2,1.0,21257.29296875,1.3604134321212769,10.633248329162598,0.11437739158163265
image_00262,grad_cam,resnet50,1.0,23264.03515625,1.1568055152893066,10.61410140991211,0.10341597576530612
image_00262,grad_cam,mobilenet_v2,1.0,23264.03515625,1.1568055152893066,10.61410140991211,0.10341597576530612
image_00263,grad_cam,resnet50,1.0,14208.2900390625,2.5314595699310303,10.355222702026367,0.37464126275510207
image_00263,grad_cam,mobilenet_v2,1.0,14208.2900390625,2.5314595699310303,10.355222702026367,0.37464126275510207
image_00264,grad_cam,resnet50,1.0,13185.7431640625,2.8053221702575684,10.180789947509766,0.5343789859693877
image_00264,grad_cam,mobilenet_v2,1.0,13185.7431640625,2.8053221702575684,10.180789947509766,0.5343789859693877
image_00265,grad_cam,resnet50,1.0,17201.13671875,1.9170165061950684,10.564448356628418,0.16240832270408162
image_00265,grad_cam,mobilenet_v2,0.0,17201.13671875,1.9170165061950684,10.564448356628418,0.16240832270408162
image_00266,grad_cam,resnet50,1.0,12436.349609375,3.0346243381500244,10.227253913879395,0.4779575892857143
image_00266,grad_cam,mobilenet_v2,0.0,12436.349609375,3.0346243381500244,10.227253913879395,0.4779575892857143
image_00267,grad_cam,resnet50,1.0,12458.421875,3.0274763107299805,10.199769973754883,0.5568199936224489
image_00267,grad_cam,mobilenet_v2,1.0,12458.421875,3.0274763107299805,10.199769973754883,0.5568199936224489
image_00268,grad_cam,resnet50,1.0,18327.5625,1.7377344369888306,10.525033950805664,0.2235530931122449
image_00268,grad_cam,mobilenet_v2,1.0,18327.5625,1.7377344369888306,10.525033950805664,0.2235530931122449
image_00269,grad_cam,resnet50,1.0,25181.857421875,0.9925456047058105,10.662433624267578,0.08850845025510204
image_00269,grad_cam,mobilenet_v2,1.0,25181.857421875,0.9925456047058105,10.662433624267578,0.08850845025510204
image_00270,grad_cam,resnet50,1.0,14642.58203125,2.42671799659729,10.297868728637695,0.42123724489795916
image_00270,grad_cam,mobilenet_v2,0.0,14642.58203125,2.42671799659729,10.297868728637695,0.42123724489795916
